	Side	GruopID	Adults	Var	mockT	Posit_ctrl	Neg_ctrl	Test	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	date
A002	dorsal	Father	adult	var	Shared	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9/3/2022
A003	dorsal	Female	adult	var	Shared	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
A005	dorsal	Father	adult	var	Shared	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
A006	dorsal	Father	adult	var	Shared	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
A009	dorsal	Father	adult	var	Shared	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A012	dorsal	Female	adult	var	Shared	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
A014	ventral	Father	adult	var	Shared	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	7/3/2022
A018	dorsal	Father	adult	var	Shared	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	7/3/2022
A019	ventral	Female	adult	var	Shared	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
A011b	ventral	Female	adult	var	Shared	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/3/2022
A025	dorsal	Female	adult	var	Shared	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A026	dorsal	Female	adult	var	Shared	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A027	dorsal	Father	adult	var	Shared	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A028	dorsal	Father	adult	var	Shared	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A030	dorsal	Father	adult	var	Shared	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A033	dorsal	Female	adult	var	Shared	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A035	dorsal	Father	adult	var	Shared	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A037	dorsal	Female	adult	var	Shared	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14/3/2022
A038	dorsal	Father	adult	var	Shared	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14/3/2022
A041	dorsal	Female	adult	var	Shared	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16/3/2022
A043	dorsal	Female	adult	var	Shared	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18/3/2022
