	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
A001	S	Male	Ventral	MV	0	1	0	1	1	1	1	605	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	40	6	6	7/3/2022
A002	S	Male	Dorsal	MD	0	0	1	1	1	1	1	235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	9/3/2022
A003	S	Female	Dorsal	FD	0	0	1	1	1	1	1	1	642	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A004	S	Female	Ventral	FV	1	1	0	1	1	1	1	1	501	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
A005	S	Male	Dorsal	MD	1	0	1	1	1	1	1	715	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	7/3/2022
A006	S	Male	Dorsal	MD	0	0	1	1	1	1	1	620	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A007	S	Male	Ventral	MV	0	0	1	1	1	1	1	405	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A009	S	Male	Dorsal	MD	0	0	1	1	1	1	1	405	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A010	S	Male	Ventral	MV	1	1	1	1	1	1	1	678	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	48	52	7/3/2022
A011a	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	642	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A011b	d	Female	Ventral	FV	0	0	1	1	1	1	1	1	642	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A012	S	Female	Dorsal	FD	1	0	0	1	1	1	1	1	650	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	7/3/2022
A013	S	Male	Ventral	MV	1	0	1	1	1	1	1	715	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	5	5	7/3/2022
A014	S	Male	Dorsal	MD	1	1	1	1	1	1	1	678	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	48	52	7/3/2022
A015	S	Female	Ventral	FV	1	0	0	1	1	1	1	1	650	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	7/3/2022
A016	S	Female	Ventral	FV	1	1	0	1	1	1	1	1	681	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	7/3/2022
A017	S	Male	Ventral	MV	0	0	1	1	1	1	1	620	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	4	7/3/2022
A018	S	Male	Dorsal	MD	0	1	1	1	1	1	1	605	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	40	3	3	7/3/2022
A019	S	Female	Dorsal	FD	1	1	0	1	1	1	1	1	681	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	7/3/2022
A020	S	Male	Ventral	MV	0	0	1	1	1	1	1	235	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	24	24	9/3/2022
A021	S	Female	Dorsal	FD	0	0	1	1	1	1	1	1	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A022	S	Female	Ventral	FV	0	0	1	1	1	1	1	1	610	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	7/3/2022
A023	S	Female	Ventral	FV	0	0	1	1	1	1	1	1	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	28	28	28	9/3/2022
A024	S	Female	Ventral	FV	0	1	0	1	1	1	1	1	410	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A025	S	Female	Dorsal	FD	1	1	0	1	1	1	1	1	501	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	9	9/3/2022
A026	S	Female	Dorsal	FD	0	1	0	1	1	1	1	1	410	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A027	S	Male	Dorsal	MD	0	1	0	1	1	1	1	422	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A028	S	Male	Dorsal	MD	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9/3/2022
A029	S	Male	Ventral	MV	0	1	0	1	1	1	1	422	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	6	9/3/2022
A030	S	Male	Dorsal	MD	1	0	0	1	1	1	1	431	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	12	12	9/3/2022
